The Untouchables 	1987	130563	8.0	0000001321	The Untouchables (1987)
North by Northwest 	1959	130259	8.5	0000001222	North by Northwest (1959)
Gone in Sixty Seconds 	2000	130135	6.3	0000122100	Gone in Sixty Seconds (2000)
Kingdom of Heaven 	2005	129858	7.1	0000012211	Kingdom of Heaven (2005)
Warrior 	2011	129525	8.1	0000001222	Warrior (2011/I)
Moon 	2009	129251	8.0	0000001321	Moon (2009)
The Mist 	2007	129153	7.3	0000012211	The Mist (2007)
Apollo 13 	1995	128959	7.5	0000002311	Apollo 13 (1995)
Dogma 	1999	128828	7.3	0000012211	Dogma (1999)
Road to Perdition 	2002	128801	7.8	0000002311	Road to Perdition (2002)
Batman Returns 	1992	127171	7.0	0000012200	Batman Returns (1992)
21 Jump Street 	2012	126789	7.2	0000012211	21 Jump Street (2012)
Donnie Brasco 	1997	126697	7.8	0000002311	Donnie Brasco (1997)
1408 	2007	126677	6.8	0000012200	1408 (2007)
Moneyball 	2011	125955	7.6	0000002310	Moneyball (2011)
Real Steel 	2011	125348	7.1	0000012211	Real Steel (2011)
Meet the Fockers 	2004	125073	6.3	0000122100	Meet the Fockers (2004)
Clerks. 	1994	124517	7.9	0000001212	Clerks. (1994)
Walk the Line 	2005	124414	7.9	0000001312	Walk the Line (2005)
The Passion of the Christ 	2004	124191	7.0	0000001112	The Passion of the Christ (2004)
The Royal Tenenbaums 	2001	123930	7.6	0000001212	The Royal Tenenbaums (2001)
The Transporter 	2002	123839	6.7	0000013100	The Transporter (2002)
Despicable Me 	2010	123674	7.6	0000002211	Despicable Me (2010)
From Dusk Till Dawn 	1996	123456	7.2	0000012211	From Dusk Till Dawn (1996)
Changeling 	2008	123153	7.8	0000001321	Changeling (2008)
Disturbia 	2007	122896	6.9	0000013201	Disturbia (2007)
The Graduate 	1967	122830	8.1	0000001222	The Graduate (1967)
Gone with the Wind 	1939	122674	8.1	0000001113	Gone with the Wind (1939)
Death Proof 	2007	122656	7.1	0000012211	Death Proof (2007)
Eastern Promises 	2007	122606	7.7	0000002311	Eastern Promises (2007)
28 Weeks Later 	2007	122516	7.0	0000012211	28 Weeks Later (2007)
Thank You for Smoking 	2005	122363	7.7	0000002311	Thank You for Smoking (2005)
The Book of Eli 	2010	122283	6.8	0000012200	The Book of Eli (2010)
Finding Neverland 	2004	122229	7.8	0000001212	Finding Neverland (2004)
21 Grams 	2003	122079	7.8	0000001321	21 Grams (2003)
Gattaca 	1997	122030	7.8	0000001321	Gattaca (1997)
Cars 	2006	122030	7.3	0000012211	Cars (2006)
The Blair Witch Project 	1999	121472	6.3	0000011101	The Blair Witch Project (1999)
Resident Evil 	2002	121457	6.6	0000012101	Resident Evil (2002)
Crank 	2006	120908	7.0	0000012211	Crank (2006)
Chinatown 	1974	120734	8.3	0000001222	Chinatown (1974)
The Breakfast Club 	1985	120499	7.9	0000001212	The Breakfast Club (1985)
Munich 	2005	120173	7.7	0000002311	Munich (2005)
American Pie 2 	2001	120106	6.3	0000122100	American Pie 2 (2001)
To Kill a Mockingbird 	1962	120035	8.4	0000001223	To Kill a Mockingbird (1962)
Mean Girls 	2004	119406	6.9	0000012101	Mean Girls (2004)
Hellboy II: The Golden Army 	2008	119176	7.1	0000012210	Hellboy II: The Golden Army (2008)
Night at the Museum 	2006	119101	6.3	0000122100	Night at the Museum (2006)
Red Dragon 	2002	118898	7.2	0000013210	Red Dragon (2002)
Saw II 	2005	118099	6.6	0000012101	Saw II (2005)
True Lies 	1994	117954	7.2	0000012211	True Lies (1994)
Once Upon a Time in America 	1984	117788	8.3	0000001223	Once Upon a Time in America (1984)
Austin Powers: The Spy Who Shagged Me 	1999	117673	6.6	0000012100	Austin Powers: The Spy Who Shagged Me (1999)
Liar Liar 	1997	117629	6.7	0000023100	Liar Liar (1997)
Ace Ventura: Pet Detective 	1994	116977	6.8	0000012101	Ace Ventura: Pet Detective (1994)
GoldenEye 	1995	116764	7.2	0000013210	GoldenEye (1995)
The Help 	2011	116639	8.1	0000001322	The Help (2011)
Panic Room 	2002	116119	6.8	0000023200	Panic Room (2002)
The Adjustment Bureau 	2011	115646	7.1	0000013210	The Adjustment Bureau (2011)
Jerry Maguire 	1996	115164	7.2	0000012211	Jerry Maguire (1996)
10 Things I Hate About You 	1999	114786	7.0	0000012211	10 Things I Hate About You (1999)
Austin Powers: International Man of Mystery 	1997	113931	7.0	0000013210	Austin Powers: International Man of Mystery (1997)
Angels & Demons 	2009	113927	6.6	0000012100	Angels & Demons (2009)
RocknRolla 	2008	113165	7.3	0000012211	RocknRolla (2008)
Law Abiding Citizen 	2009	112823	7.2	0000012211	Law Abiding Citizen (2009)
Shrek the Third 	2007	112308	6.0	0000122100	Shrek the Third (2007)
Notting Hill 	1999	111990	6.9	0000012211	Notting Hill (1999)
Pretty Woman 	1990	111956	6.8	0000012101	Pretty Woman (1990)
Role Models 	2008	111878	7.0	0000013200	Role Models (2008)
Zoolander 	2001	111457	6.5	0000012101	Zoolander (2001)
Me, Myself & Irene 	2000	111333	6.4	0000122100	Me, Myself & Irene (2000)
Paranormal Activity 	2007	111192	6.4	0000012101	Paranormal Activity (2007)
Shakespeare in Love 	1998	111172	7.2	0000012211	Shakespeare in Love (1998)
The School of Rock 	2003	111116	7.1	0000012211	The School of Rock (2003)
Lethal Weapon 	1987	111100	7.6	0000002311	Lethal Weapon (1987)
Lola rennt 	1998	110931	7.9	0000001221	Lola rennt (1998)
Step Brothers 	2008	110378	6.7	0000012111	Step Brothers (2008)
Mars Attacks! 	1996	110304	6.3	0000122100	Mars Attacks! (1996)
Lawrence of Arabia 	1962	109837	8.4	0000001123	Lawrence of Arabia (1962)
National Treasure: Book of Secrets 	2007	109085	6.5	0000022100	National Treasure: Book of Secrets (2007)
Boogie Nights 	1997	108793	7.9	0000001211	Boogie Nights (1997)
Dances with Wolves 	1990	108260	8.0	0000001222	Dances with Wolves (1990)
South Park: Bigger Longer & Uncut 	1999	108002	7.8	0000001212	South Park: Bigger Longer & Uncut (1999)
Gone Baby Gone 	2007	107528	7.8	0000002311	Gone Baby Gone (2007)
Anger Management 	2003	107451	6.1	0000122100	Anger Management (2003)
Pitch Black 	2000	107264	7.1	0000012210	Pitch Black (2000)
A Few Good Men 	1992	107134	7.6	0000002311	A Few Good Men (1992)
Vicky Cristina Barcelona 	2008	106736	7.2	0000012210	Vicky Cristina Barcelona (2008)
Natural Born Killers 	1994	106491	7.2	0000012211	Natural Born Killers (1994)
Master and Commander: The Far Side of the World 	2003	106448	7.4	0000012211	Master and Commander: The Far Side of the World (2003)
Friends with Benefits 	2011	105726	6.6	0000022100	Friends with Benefits (2011)
Napoleon Dynamite 	2004	105713	6.8	0000011111	Napoleon Dynamite (2004)
Ying xiong 	2002	105695	7.9	0000001222	Ying xiong (2002)
Perfume: The Story of a Murderer 	2006	105656	7.5	0000002211	Perfume: The Story of a Murderer (2006)
Austin Powers in Goldmember 	2002	105558	6.1	0000122100	Austin Powers in Goldmember (2002)
Get Smart 	2008	105193	6.6	0000022100	Get Smart (2008)
Enemy at the Gates 	2001	104815	7.5	0000002311	Enemy at the Gates (2001)
Scent of a Woman 	1992	104566	7.8	0000001321	Scent of a Woman (1992)
Ed Wood 	1994	104066	8.0	0000001221	Ed Wood (1994)
